"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.354837500E-2,-8.569806437E-1,-2.645023084E-1,1.324518891E0,1.599602322E0
4.350837501E-2,-7.464374238E-1,-4.461156571E-1,1.335381848E0,1.593559753E0
5.346837500E-2,-4.766065478E-1,-7.716283983E-1,9.466963738E-1,1.311029447E0
6.342737500E-2,-2.780087918E-1,-1.039193478E0,3.401606011E-1,1.128238099E0
7.338737500E-2,-7.983656690E-2,-1.147009118E0,-1.002914429E-1,1.154149976E0
8.334737500E-2,1.800278762E-1,-1.059186863E0,-1.905829775E-1,1.091150181E0
9.330737501E-2,2.302656913E-1,-8.163952661E-1,-1.866676819E-1,8.685438057E-1
1.032673750E-1,1.067738123E-1,-6.150452256E-1,-3.333830935E-1,7.076903020E-1
1.132263750E-1,-6.979163513E-2,-5.451265597E-1,-5.155086583E-1,7.535137791E-1
1.231863750E-1,-2.878647123E-1,-5.067314029E-1,-4.826192397E-1,7.566796798E-1
1.331463750E-1,-4.988540339E-1,-4.768228948E-1,-3.596780223E-1,7.781925854E-1
1.431063750E-1,-5.644698800E-1,-5.043697125E-1,-2.321987808E-1,7.917899507E-1
1.530653750E-1,-5.296890333E-1,-5.694018602E-1,-4.632339656E-2,7.790602079E-1
1.630253750E-1,-4.781820801E-1,-5.645165116E-1,9.617091000E-2,7.460468065E-1
1.729853750E-1,-4.295320764E-1,-4.833934110E-1,2.618453336E-1,6.976603566E-1
1.829453750E-1,-4.293516898E-1,-4.043144971E-1,3.196462297E-1,6.708105532E-1
1.929053750E-1,-4.405602175E-1,-4.471354115E-1,2.628452075E-1,6.805225819E-1
2.028643750E-1,-4.167124946E-1,-5.439840138E-1,2.197956669E-1,7.196374404E-1
2.128243750E-1,-3.935926040E-1,-5.456756133E-1,2.776392478E-1,7.278465255E-1
2.227843750E-1,-2.401118177E-1,-4.875893730E-1,4.186682421E-1,6.860613519E-1
2.327443750E-1,-2.231833975E-1,-3.896368164E-1,3.883668011E-1,5.936804274E-1
2.427033750E-1,-1.324107832E-1,-3.322779697E-1,2.422133070E-1,4.319821186E-1
2.526633750E-1,3.110338658E-1,-3.254478371E-1,1.732798970E-1,4.823735928E-1
2.626233750E-1,6.113361906E-1,-3.462118846E-1,2.075796640E-1,7.325871442E-1
2.725833750E-1,6.189040956E-1,-3.403863037E-1,3.548441291E-1,7.904552304E-1
2.825433750E-1,4.250984251E-1,-3.219044244E-1,4.972460496E-1,7.290985965E-1
2.925024583E-1,2.389040753E-2,-3.656246406E-1,4.582860518E-1,5.867522770E-1
3.024624583E-1,-1.531118269E-1,-4.039303350E-1,3.028109264E-1,5.275390074E-1
3.124224583E-1,-1.036613394E-1,-4.058599162E-1,3.887989104E-2,4.206894232E-1
3.223824583E-1,-2.052565652E-1,-4.401567596E-1,-3.448003668E-1,5.956135690E-1
3.323424583E-1,-2.213596509E-1,-5.171955800E-1,-8.443893957E-1,1.014635311E0
3.423014583E-1,-3.259822726E-5,-6.651137638E-1,-1.184178114E0,1.358180447E0
3.522614583E-1,7.706191689E-2,-5.969995487E-1,-1.124623638E0,1.275588228E0
3.622214583E-1,-1.132998897E-1,-5.226463544E-1,-9.401387215E-1,1.081599229E0
3.721814583E-1,-6.723695737E-1,-6.053967351E-1,-9.436096287E-1,1.307281600E0
3.821414583E-1,-1.199924666E0,-7.836157751E-1,-9.694473052E-1,1.730231477E0
3.921004583E-1,-1.482667802E0,-1.030632570E0,-1.079873142E0,2.103956584E0
4.020604583E-1,-1.846345758E0,-1.035589254E0,-8.195013070E-1,2.270026466E0
4.120204583E-1,-2.211739872E0,-6.105767834E-1,-3.015455890E-1,2.314201161E0
4.219804583E-1,-2.544001031E0,-9.467139155E-1,-5.879123908E-1,2.777381764E0
4.319394583E-1,-3.115705817E0,-1.394803008E0,-1.060388466E0,3.574565969E0
4.418994583E-1,-3.608798590E0,-1.940407870E0,-1.196539713E0,4.268526355E0
4.518594583E-1,-3.870016225E0,-2.357857552E0,-1.110661656E0,4.665842596E0
4.618194583E-1,-3.708771652E0,-2.455140603E0,-1.274086071E0,4.626661632E0
4.717794583E-1,-2.831559788E0,-2.319750078E0,-1.420961697E0,3.926589284E0
4.817384583E-1,-2.430469007E0,-2.306276924E0,-9.196225959E-1,3.474449390E0
4.916984583E-1,-2.694302248E0,-2.142907473E0,-3.888749242E-1,3.464468321E0
5.016584583E-1,-2.994327853E0,-1.900597102E0,3.449371916E-1,3.563320123E0
5.116184583E-1,-3.541029945E0,-2.054113410E0,1.264288477E0,4.284472001E0
5.215784583E-1,-3.904439660E0,-2.511636400E0,1.117667205E0,4.775159311E0
5.315374583E-1,-4.005907563E0,-2.463095155E0,1.030804478E0,4.814217591E0
5.414974583E-1,-2.741550381E0,-2.318595253E0,1.085463665E0,3.751028367E0
5.514574583E-1,-1.748574173E0,-2.200128325E0,5.384426075E-1,2.861467583E0
5.614174583E-1,-1.538315315E0,-1.888232580E0,1.848503673E-1,2.442540878E0
5.713764583E-1,-7.536324227E-1,-1.707528473E0,4.657283878E-1,1.923673113E0
5.813364583E-1,-2.041698602E-1,-1.580796506E0,9.925642723E-1,1.877707847E0
5.912964583E-1,2.777247048E0,-1.510470874E0,6.428446430E-1,3.226123473E0
6.012564583E-1,3.083603726E0,-1.153132907E0,-1.401167117E0,3.577931907E0
6.112164583E-1,-2.056623035E0,2.352685690E-1,-2.963135004E-2,2.070248204E0
6.211754583E-1,-1.936086777E0,-8.269377959E-1,2.502411248E0,3.270217146E0
6.311354583E-1,9.471904635E-2,-1.330044510E0,1.941758577E0,2.355507687E0
6.410954583E-1,-2.096460700E-1,-1.057907492E0,2.336673675E0,2.573550776E0
6.510554583E-1,-4.900282466E-1,-1.570800691E0,2.491430762E0,2.985761165E0
6.610154583E-1,-2.508546147E-1,-1.330873645E0,2.088517842E0,2.489188517E0
6.709744583E-1,-1.456748995E-1,-9.388499951E-1,2.369195888E0,2.552596648E0
6.809344583E-1,4.063814878E-4,-1.041082714E0,3.275687392E0,3.437147258E0
6.908944583E-1,5.253945458E-1,-7.224767035E-1,3.808556433E0,3.911919493E0
7.008544583E-1,5.649003813E-1,-7.057565904E-1,2.843799180E0,2.984023891E0
7.108134583E-1,3.628814194E-1,-1.172548002E-1,1.039945430E0,1.107663356E0
7.207734583E-1,2.044706994E-1,7.198483801E-1,-8.975639749E-1,1.168593619E0
7.307334583E-1,6.501893306E-1,6.553015512E-1,-1.849207385E0,2.066817419E0
7.406934583E-1,1.053760939E0,2.530376726E-1,-1.421420995E0,1.787422117E0
7.506534583E-1,1.175508740E0,5.304079485E-1,-3.540173328E-1,1.337341266E0
7.606124583E-1,1.618392348E0,1.439834754E0,6.220197845E-1,2.253713940E0
7.705724583E-1,2.345437481E0,2.093057621E0,1.206253107E0,3.367048224E0
7.805324583E-1,3.004530367E0,2.182223566E0,1.045555249E0,3.857782809E0
7.904924583E-1,3.041330988E0,1.265525163E0,3.612357205E-1,3.313870753E0
